factor,Intercept,Mkt_RF,SMB,HML,RMW,CMA,MOM,R2
Mkt_RF,10.6%,,0.29,0.01,-0.22,-0.74,-0.16,22%
Mkt_RF_t,(5.89),,(5.59),(0.13),(-3.13),(-7.51),(-4.51),
SMB,2.5%,0.14,,0.17,-0.44,-0.19,0.01,18%
SMB_t,(1.97),(5.59),,(3.54),(-9.39),(-2.61),(0.23),
HML,0.6%,0.00,0.10,,0.19,0.99,-0.13,52%
HML_t,(0.62),(0.13),(3.54),,(5.04),(25.10),(-7.13),
RMW,4.0%,-0.06,-0.24,0.18,,-0.25,0.04,16%
RMW_t,(4.31),(-3.13),(-9.39),(5.04),,(-4.86),(2.15),
CMA,2.3%,-0.10,-0.05,0.46,-0.12,,0.04,53%
CMA_t,(3.48),(-7.51),(-2.61),(25.10),(-4.86),,(3.13),
MOM,8.5%,-0.16,0.01,-0.49,0.15,0.32,,10%
MOM_t,(4.70),(-4.51),(0.23),(-7.13),(2.15),(3.13),,
