event,start,end,depth,factor,contribution
2020-02,2020-02-29,2020-05-31,-0.04917108733833986,HML,-0.04903430402178015
2020-02,2020-02-29,2020-05-31,-0.04917108733833986,Mkt_RF,0.0036398093550967653
2020-02,2020-02-29,2020-05-31,-0.04917108733833986,SMB,-2.5375148973812676e-05
2020-02,2020-02-29,2020-05-31,-0.04917108733833986,UMD,-0.0001275218319767996
2018-09,2018-09-30,2019-05-31,-0.04794983359475935,HML,-0.011293806887653645
2018-09,2018-09-30,2019-05-31,-0.04794983359475935,Mkt_RF,-0.053858762296813883
2018-09,2018-09-30,2019-05-31,-0.04794983359475935,SMB,-0.023244997690825192
2018-09,2018-09-30,2019-05-31,-0.04794983359475935,UMD,-0.026185136060581704
2016-01,2016-01-31,2016-06-30,-0.032528936898836625,HML,0.0004782478710617334
2016-01,2016-01-31,2016-06-30,-0.032528936898836625,Mkt_RF,0.013480737714106204
2016-01,2016-01-31,2016-06-30,-0.032528936898836625,SMB,-0.0007993234146896189
2016-01,2016-01-31,2016-06-30,-0.032528936898836625,UMD,-0.040024585327490696
2022-06,2022-06-30,2022-08-31,-0.030833985948947373,HML,-0.022073399063183532
2022-06,2022-06-30,2022-08-31,-0.030833985948947373,Mkt_RF,-0.013683448196747824
2022-06,2022-06-30,2022-08-31,-0.030833985948947373,SMB,0.009104593362456198
2022-06,2022-06-30,2022-08-31,-0.030833985948947373,UMD,-0.00664545269469254
2023-08,2023-08-31,2023-11-30,-0.029888572195560736,HML,0.009078068934404854
2023-08,2023-08-31,2023-11-30,-0.029888572195560736,Mkt_RF,-0.023449328838085415
2023-08,2023-08-31,2023-11-30,-0.029888572195560736,SMB,-0.014442857703910907
2023-08,2023-08-31,2023-11-30,-0.029888572195560736,UMD,0.02122473879797682
