doc_month,docs,avg_chunks,token_limit_hits,token_hit_pct
2005-01-31,2,1.0094198559724452,1,0.5
2005-02-28,1,1.808792973192694,0,0.0
2005-03-31,4,1.2593997388018539,1,0.25
2005-04-30,1,1.6361336677280658,1,1.0
2005-05-31,4,1.4542144197652473,1,0.25
2005-06-30,3,1.8634300145217673,1,0.3333333333333333
2005-07-31,4,1.9169611131024886,1,0.25
2005-08-31,3,1.9968077126788542,0,0.0
2005-09-30,1,1.153684135807247,1,1.0
2005-10-31,3,1.8629640464754753,1,0.3333333333333333
2005-11-30,2,1.2660213767288018,1,0.5
2005-12-31,3,1.5908158748955077,1,0.3333333333333333
2006-01-31,4,1.505772833869211,0,0.0
2006-02-28,4,1.0179881315723875,1,0.25
2006-03-31,4,1.9327712799060948,0,0.0
2006-04-30,3,1.0783270551492183,1,0.3333333333333333
2006-05-31,4,1.6882189194077357,0,0.0
2006-06-30,4,1.785006836208262,0,0.0
2006-07-31,2,1.7952878490476842,0,0.0
2006-08-31,3,1.1354945189288448,0,0.0
2006-09-30,2,1.447569950507972,0,0.0
2006-10-31,4,1.8294288704339798,1,0.25
2006-11-30,4,1.3026792103787548,0,0.0
2006-12-31,4,1.4677486753746636,1,0.25
2007-01-31,3,1.2727938926998457,0,0.0
2007-02-28,1,1.4635514178853242,0,0.0
2007-03-31,4,1.88783792259288,1,0.25
2007-04-30,4,1.4551242310327694,0,0.0
2007-05-31,4,1.5559120170743204,0,0.0
2007-06-30,4,1.4039762833030835,0,0.0
2007-07-31,3,1.4601171832033255,0,0.0
2007-08-31,1,1.0151741990464216,1,1.0
2007-09-30,1,1.283745509960456,0,0.0
2007-10-31,1,1.4365817217418244,0,0.0
2007-11-30,4,1.6337969759927289,1,0.25
2007-12-31,4,1.4500519305538921,1,0.25
2008-01-31,1,1.337817043321564,0,0.0
2008-02-29,1,1.3880987353441572,0,0.0
2008-03-31,4,1.2422933292004665,1,0.25
2008-04-30,4,1.9244942827740528,0,0.0
2008-05-31,2,1.5217432257909147,1,0.5
2008-06-30,2,1.0134094538721232,0,0.0
2008-07-31,2,1.0194462584195465,1,0.5
2008-08-31,1,1.9729616349520416,1,1.0
2008-09-30,3,1.221450891373245,1,0.3333333333333333
2008-10-31,4,1.8056082888143146,0,0.0
2008-11-30,2,1.0582753015605744,0,0.0
2008-12-31,3,1.9211627366945492,0,0.0
2009-01-31,4,1.8744170036666783,0,0.0
2009-02-28,3,1.5710931624345146,1,0.3333333333333333
2009-03-31,1,1.0089986572832559,1,1.0
2009-04-30,1,1.2578108740233376,1,1.0
2009-05-31,1,1.406822647398465,0,0.0
2009-06-30,2,1.4600641167475619,0,0.0
2009-07-31,4,1.297678758562372,0,0.0
2009-08-31,1,1.03294786824553,1,1.0
2009-09-30,2,1.590127405926542,0,0.0
2009-10-31,2,1.524154667694756,0,0.0
2009-11-30,2,1.2830006354290777,1,0.5
2009-12-31,2,1.0379759675696065,1,0.5
2010-01-31,1,1.9945941872219402,0,0.0
2010-02-28,2,1.481986186826406,1,0.5
2010-03-31,1,1.756004241774077,0,0.0
2010-04-30,1,1.4523140350513355,1,1.0
2010-05-31,2,1.0431702908629414,1,0.5
2010-06-30,1,1.3096007450855,1,1.0
2010-07-31,4,1.3201101410059013,0,0.0
2010-08-31,4,1.838352904049016,0,0.0
2010-09-30,3,1.6542299779998744,0,0.0
2010-10-31,4,1.275429903639473,1,0.25
2010-11-30,1,1.967739954659086,1,1.0
2010-12-31,1,1.3215418323978714,1,1.0
2011-01-31,4,1.9982340258287203,1,0.25
2011-02-28,2,1.996163693170263,0,0.0
2011-03-31,2,1.1912105177467418,0,0.0
2011-04-30,1,1.3127411161884002,0,0.0
2011-05-31,2,1.4860441984846542,1,0.5
2011-06-30,3,1.664100671147891,1,0.3333333333333333
2011-07-31,3,1.5280474490037994,0,0.0
2011-08-31,4,1.9694414691322568,1,0.25
2011-09-30,4,1.7239891642356915,0,0.0
2011-10-31,2,1.2120448493829743,1,0.5
2011-11-30,1,1.1050975502136384,1,1.0
2011-12-31,4,1.6884012907093569,0,0.0
2012-01-31,3,1.158452440180763,0,0.0
2012-02-29,4,1.7876768403357541,1,0.25
2012-03-31,4,1.3110366672603369,0,0.0
2012-04-30,3,1.3268932630556065,0,0.0
2012-05-31,1,1.0107983923895119,1,1.0
2012-06-30,4,1.7010112670950406,1,0.25
2012-07-31,4,1.1132697530646858,1,0.25
2012-08-31,4,1.7728805774635181,0,0.0
2012-09-30,2,1.4918678219172068,1,0.5
2012-10-31,4,1.784279814954569,1,0.25
2012-11-30,3,1.5839265391977413,1,0.3333333333333333
2012-12-31,1,1.0824332720189909,1,1.0
2013-01-31,1,1.765652336705183,1,1.0
2013-02-28,3,1.0697994848947499,0,0.0
2013-03-31,2,1.4787017205693322,1,0.5
2013-04-30,3,1.1723492141449632,1,0.3333333333333333
2013-05-31,1,1.7523351779778849,0,0.0
2013-06-30,3,1.9115912278061264,1,0.3333333333333333
2013-07-31,2,1.5541261633582741,1,0.5
2013-08-31,1,1.5271472942991804,0,0.0
2013-09-30,2,1.763963196325618,1,0.5
2013-10-31,3,1.0050788129757273,0,0.0
2013-11-30,4,1.9177586426351607,1,0.25
2013-12-31,3,1.1974488170911317,0,0.0
2014-01-31,2,1.9841188838262371,0,0.0
2014-02-28,3,1.7362539479604622,1,0.3333333333333333
2014-03-31,4,1.774251147700671,0,0.0
2014-04-30,2,1.6562029803736067,0,0.0
2014-05-31,3,1.4716631827851603,1,0.3333333333333333
2014-06-30,2,1.5716276933611655,1,0.5
2014-07-31,2,1.0464028860151258,0,0.0
2014-08-31,1,1.6239595094320143,1,1.0
2014-09-30,1,1.6260981019870466,0,0.0
2014-10-31,2,1.8912007974018095,0,0.0
2014-11-30,3,1.5056563574302193,1,0.3333333333333333
2014-12-31,3,1.077144374086061,1,0.3333333333333333
2015-01-31,3,1.3061959204820812,0,0.0
2015-02-28,4,1.6556294121143176,1,0.25
2015-03-31,2,1.239258862751464,1,0.5
2015-04-30,2,1.2805278218554008,0,0.0
2015-05-31,4,1.8204690163608535,0,0.0
2015-06-30,2,1.584319731762709,0,0.0
2015-07-31,2,1.5085274317735724,0,0.0
2015-08-31,4,1.3184519668058043,0,0.0
2015-09-30,1,1.7309280359330335,0,0.0
2015-10-31,2,1.2877184344900292,1,0.5
2015-11-30,4,1.737063517644175,0,0.0
2015-12-31,3,1.070101480267442,1,0.3333333333333333
2016-01-31,1,1.8645413415820835,1,1.0
2016-02-29,3,1.499566463375933,0,0.0
2016-03-31,2,1.4385080166989699,1,0.5
2016-04-30,1,1.6110234115419244,0,0.0
2016-05-31,4,1.6241920728962704,1,0.25
2016-06-30,2,1.1320351768899957,0,0.0
2016-07-31,4,1.7562335898162131,0,0.0
2016-08-31,1,1.2759282979500628,0,0.0
2016-09-30,3,1.904961880169914,0,0.0
2016-10-31,2,1.8178506634148324,1,0.5
2016-11-30,2,1.3462660415347485,1,0.5
2016-12-31,4,1.8077392932007146,1,0.25
2017-01-31,1,1.3563904992999043,1,1.0
2017-02-28,4,1.1009476816360406,1,0.25
2017-03-31,1,1.961888238725708,0,0.0
2017-04-30,2,1.65260201521544,0,0.0
2017-05-31,1,1.4560995266625918,0,0.0
2017-06-30,2,1.3977733515310398,0,0.0
2017-07-31,1,1.324705334258264,0,0.0
2017-08-31,3,1.9814475954291293,1,0.3333333333333333
2017-09-30,1,1.1347472651309074,0,0.0
2017-10-31,3,1.3148050589205682,0,0.0
2017-11-30,1,1.4854976402826634,1,1.0
2017-12-31,1,1.4779995450543115,1,1.0
2018-01-31,4,1.4713664844078433,0,0.0
2018-02-28,4,1.175783815830382,0,0.0
2018-03-31,2,1.1449325271095006,1,0.5
2018-04-30,4,1.25476758632862,0,0.0
2018-05-31,1,1.914526153802056,0,0.0
2018-06-30,4,1.11305296783451,0,0.0
2018-07-31,1,1.7574251033733248,1,1.0
2018-08-31,3,1.7575483931333713,0,0.0
2018-09-30,1,1.8097704038972622,0,0.0
2018-10-31,2,1.8866154889893556,1,0.5
2018-11-30,3,1.2630361775389303,1,0.3333333333333333
2018-12-31,2,1.2245594692688964,1,0.5
2019-01-31,2,1.4655056665274797,0,0.0
2019-02-28,2,1.265089168752036,1,0.5
2019-03-31,4,1.7343099889831075,0,0.0
2019-04-30,2,1.6359395767414338,1,0.5
2019-05-31,3,1.8749876880526515,0,0.0
2019-06-30,1,1.0827383034870715,1,1.0
2019-07-31,2,1.9150833333580748,0,0.0
2019-08-31,3,1.2933486266700895,0,0.0
2019-09-30,2,1.490694345926984,1,0.5
2019-10-31,1,1.4386114359396438,1,1.0
2019-11-30,3,1.760311651104424,0,0.0
2019-12-31,3,1.4203333094318427,1,0.3333333333333333
2020-01-31,1,1.9435531456494095,0,0.0
2020-02-29,3,1.9025338826385756,1,0.3333333333333333
2020-03-31,1,1.8721611519695065,1,1.0
2020-04-30,3,1.071258332648228,0,0.0
2020-05-31,3,1.8542580615539395,1,0.3333333333333333
2020-06-30,1,1.7816354454432104,1,1.0
2020-07-31,1,1.1035129470061311,0,0.0
2020-08-31,3,1.1074143254362219,0,0.0
2020-09-30,3,1.1011638115175413,1,0.3333333333333333
2020-10-31,1,1.0113325932044877,0,0.0
2020-11-30,4,1.5486343051945837,1,0.25
2020-12-31,1,1.9733942914360432,1,1.0
2021-01-31,3,1.4386847028997936,0,0.0
2021-02-28,3,1.5407575018873563,0,0.0
2021-03-31,3,1.9679697967699554,0,0.0
2021-04-30,1,1.2551822287742307,0,0.0
2021-05-31,3,1.8584702525982628,0,0.0
2021-06-30,4,1.5463904672117361,0,0.0
2021-07-31,2,1.5694765146630107,1,0.5
2021-08-31,4,1.3431738572072836,1,0.25
2021-09-30,1,1.5615843609669082,0,0.0
2021-10-31,3,1.0731425094782838,1,0.3333333333333333
2021-11-30,1,1.764643572614112,1,1.0
2021-12-31,2,1.2846877615442716,1,0.5
2022-01-31,1,1.887608329493955,1,1.0
2022-02-28,3,1.3678506946074585,0,0.0
2022-03-31,2,1.1428241104868826,1,0.5
2022-04-30,2,1.695881574368485,1,0.5
2022-05-31,3,1.1645781447135028,0,0.0
2022-06-30,3,1.7536805155429904,0,0.0
2022-07-31,3,1.9681122364061165,0,0.0
2022-08-31,1,1.7795528687952618,0,0.0
2022-09-30,4,1.0224492484313248,1,0.25
2022-10-31,1,1.5998857880527746,0,0.0
2022-11-30,1,1.6954106709697243,1,1.0
2022-12-31,4,1.8254583257962853,1,0.25
2023-01-31,3,1.056002308939,0,0.0
2023-02-28,3,1.4801078279522863,0,0.0
2023-03-31,4,1.5353708726383943,0,0.0
2023-04-30,4,1.169124862644178,0,0.0
2023-05-31,1,1.3224498097106496,0,0.0
2023-06-30,2,1.4402217262561652,0,0.0
2023-07-31,4,1.8332096879578015,1,0.25
2023-08-31,1,1.929407566070207,1,1.0
2023-09-30,2,1.6284228289176728,1,0.5
2023-10-31,3,1.3949451860214621,1,0.3333333333333333
2023-11-30,3,1.254031017798986,0,0.0
2023-12-31,1,1.9821351844361503,0,0.0
2024-01-31,1,1.9830199980763585,1,1.0
2024-02-29,4,1.9249769482350347,1,0.25
2024-03-31,3,1.7856691498778192,1,0.3333333333333333
2024-04-30,1,1.3257795437456181,0,0.0
2024-05-31,3,1.8170004834976305,0,0.0
2024-06-30,3,1.4087930172711727,0,0.0
2024-07-31,4,1.3267730981550452,1,0.25
2024-08-31,2,1.7448653584662797,1,0.5
2024-09-30,4,1.079653927620423,0,0.0
2024-10-31,1,1.0485627232956616,0,0.0
2024-11-30,4,1.4479536971811857,1,0.25
2024-12-31,4,1.445638800822162,1,0.25
