FYEAR,N,IQR,mean,p25,p50,p75,std,skew,min,max
1996,9890,15.37775,79.01162022244692,0.185,1.7875,15.562750000000001,665.7373602888555,18.435360232256212,0.0,20180.0
1997,9555,18.29,92.67667169021455,0.199,2.185,18.489,787.2945687425162,17.16669226637654,0.0,22429.0
1998,9775,21.132499999999997,108.29806056265984,0.193,2.405,21.325499999999998,982.826405919097,17.903581919715194,0.0,27495.0
1999,9918,23.630499999999998,108.97996561806816,0.219,3.1660000000000004,23.8495,948.9631984817266,19.138460634340884,0.0,30601.0
2000,9555,29.968,153.60923275771847,0.251,4.229,30.219,1381.999731398884,17.348781081715067,0.0,37107.0
2001,9079,30.9635,162.58186617468886,0.2275,4.12,31.191,1441.866444385065,17.751620838365024,-0.006,41080.0
2002,8757,28.388,138.9193661071143,0.205,3.803,28.593,1209.6055847524,19.875185078818838,-0.05,40287.0
2003,8612,28.4975,130.72922201579192,0.202,3.5065,28.6995,1110.7357338939487,19.940257019551357,0.0,37351.0
2004,8375,29.961,142.39949874626865,0.2005,3.738,30.1615,1189.9361470931894,16.760466661786847,-0.086,30922.145
2005,8183,33.463,186.18427312721494,0.239,4.468,33.702,1634.0241915990082,15.849165850026296,-0.145,42284.229
2006,7876,42.00475,261.343437150838,0.31074999999999997,5.7715,42.3155,2448.4571852812796,16.374593631442576,-0.005,66322.263
2007,7582,50.02625,336.35370601424427,0.33225000000000005,6.595,50.3585,3254.318482904944,16.93819472322642,-0.03,92108.615
2008,7414,50.39025,272.2733162934988,0.3405,6.9925,50.73075,2498.055321732394,16.219092219863068,-0.142,63110.138
2009,7313,45.71,193.7900332284972,0.29,6.333,46.0,1487.145708322256,15.544812831982846,-0.875,38516.479
2010,7214,46.592999999999996,232.0665392292764,0.24925,5.5265,46.84225,3012.353441579762,35.35546115027248,-0.037,137861.0
2011,7185,49.839,229.2841962421712,0.261,5.407,50.1,2776.3741469059046,32.80903750822417,-0.053,123662.0
2012,7439,48.963,209.88025836806023,0.256,4.701,49.219,2394.2338343428146,32.23591550630619,-0.664,107689.0
2013,7557,47.826,186.50183326716953,0.274,4.41,48.1,2061.7711443362,33.24854813362055,-367.33,95145.0
2014,7331,51.691,185.25072841358616,0.352,5.367,52.043,2031.4827522600388,34.394116109707575,-0.05,94437.0
2015,7075,56.52250000000001,176.57712339222616,0.3805,6.131,56.903000000000006,1898.481385104579,35.141154238619556,-1.339,88033.0
2016,6908,61.12075,186.9452915460336,0.40075000000000005,7.1365,61.5215,1898.4863030149381,32.91915552449184,-0.946,84726.0
2017,6745,66.549,205.15722846553004,0.451,8.09,67.0,2023.3749189315242,32.27018219176477,0.0,89123.0
2018,6645,70.84,225.1691381489842,0.482,9.987,71.322,2198.239218104467,31.88685101786508,-0.011,96098.0
2019,6657,78.505,247.78191016974614,0.495,11.372,79.0,2313.032778096673,30.33640358382104,0.0,98610.0
2020,6885,67.538,190.77096339869283,0.462,9.325,68.0,1785.897457694416,35.55134143330235,0.0,82703.0
2021,6943,59.577,162.3230715828892,0.383,6.849,59.96,1514.1487010628136,36.00823122673952,-1042.0,70088.0
2022,6544,74.77175,241.5912895782396,0.5507500000000001,9.285,75.32249999999999,2298.2680564705765,28.029826686921965,-3775.0,90874.0
