industry,N,mean,std,skew,kurtosis,min,p1,p5,p25,p50,p75,p95,p99,max
"Agriculture, Forestry & Fishing",225.0,0.8278705332862536,0.9148331788099071,-0.3122024594893365,7.545063685453075,-4.529084168717868,-1.0299453425974345,-0.2117150986561478,0.39512982250979145,0.756782338127441,1.1790499651139394,2.5831381027994134,3.472926436794224,4.196799218207072
Construction,251.0,1.4041410881909637,0.9199680131002332,0.23995099804940806,1.9519101431443806,-1.6771583369386274,-1.1310837832831178,0.01030587250063832,0.8791295469620664,1.4103407021635022,1.8386451510316628,2.9042823117694097,4.179357573896759,4.876130914668055
"Finance, Insurance & Real Estate",257.0,0.8560946298080274,0.729829415243142,1.6204247185329996,6.568825908032748,-0.6096075065071763,-0.28518995202771374,-0.15098588191825435,0.39036449728395956,0.8066888261779707,1.2190594283986824,1.9399373768023385,3.2007019661382987,5.316265736468099
Manufacturing,246.0,1.3501390377011142,1.0995605572338336,-0.9875815288118941,14.196563317388058,-7.022315624419454,-0.21305311596428275,0.038942859028928786,0.77709361963081,1.2621529016030462,1.7773382000665998,3.2351024972943465,4.450898130549332,5.628107566755921
Mining,244.0,1.5201148858260496,1.1473562205306798,0.5404643346415463,1.327326620921463,-2.24509524354814,-0.8560773502693496,-0.00569887804516301,0.7490090370074112,1.4214242300806235,2.084092115377636,3.7433898755430888,4.805381623679009,5.493467080068676
Public Administration,128.0,1.1337932062535985,1.1826723953182623,0.602228550046803,7.749955890374089,-4.254677415879167,-1.168898909222933,-0.09890248376725257,0.39280364462927,1.0456980851757751,1.631083305994399,2.8202147386394065,4.040500935772547,7.24914302634138
Retail Trade,251.0,1.1735237936320755,0.789855448512272,0.8468728020946229,1.433356126607146,-0.8829930945856668,-0.3260594126203063,0.14824491789795863,0.6848552709866849,1.065437229042724,1.5657482998112353,2.691592984495718,3.413913792207311,4.144722171656139
Services,233.0,1.3762343069472922,1.0453588976523216,1.0178042228794595,2.668281557224791,-2.3262978615286576,-0.5142431058081375,0.12621573531417207,0.7720176943838679,1.1511147748721096,1.864990270357537,3.0168716383169203,4.876105812133396,5.432169891518425
Transportation & Utilities,254.0,0.9888637549125127,0.8296547083238888,1.6776969906350887,5.16602716943353,-0.6280340291863802,-0.24775314129076442,0.04928517537043891,0.3986930289345258,0.8828312617042964,1.3267451335149352,2.6211998843115696,3.7066142699785445,5.792329761045346
Unknown,49.0,0.916231297055433,1.0100523780283588,1.0162740508200023,0.6834763850501582,-1.0182396259768,-0.6839025790819578,-0.10802489433022237,0.3155460101990144,0.5898081801794505,1.2912477375238252,3.0254127224822187,3.4558785170213566,3.6739937347052884
Wholesale Trade,257.0,1.2802427718169507,1.00104255616926,1.9447544031641246,11.037775866620619,-2.7007052112177568,-0.41602695822970676,0.0524615692780181,0.6903012051977893,1.1354702199887219,1.6513557334002664,2.723074859336717,4.65471687177809,7.651795101402132
