WeightType,Asset,Quartile,AvgBeta,AvgExcessReturn,N
Equal,FIAT,1,-0.116041482,0.1164168783025403,9
Equal,FIAT,2,-0.086229274,0.03579013405278037,9
Equal,FIAT,3,-0.05166449077777777,0.05573282230279602,9
Equal,FIAT,4,-0.019430293711111112,0.024198509894335904,9
Equal,FIAT,Q4-Q1,0.09661118828888887,-0.0922183684082044,9
Equal,EQUITY,1,0.015127839311111113,-0.007554677152689351,9
Equal,EQUITY,2,0.032924500527777775,-0.02452271194358704,9
Equal,EQUITY,3,0.04458994255555556,0.11475945869495158,9
Equal,EQUITY,4,0.06958180588888889,0.047541113059834675,9
Equal,EQUITY,Q4-Q1,0.054453966577777776,0.055095790212524025,9
Equal,GOLD,1,-0.026472214966666668,0.033178189551038746,9
Equal,GOLD,2,-0.01924504748888889,0.004083785246799149,9
Equal,GOLD,3,-0.012546321055555552,0.1801157864007777,9
Equal,GOLD,4,0.0011156527422222229,-0.012404503531416842,9
Equal,GOLD,Q4-Q1,0.02758786770888889,-0.045582693082455585,9
Equal,ENERGY,1,-0.05804531066666666,0.04921262016515726,9
Equal,ENERGY,2,-0.02031312655555556,0.1170130881012338,9
Equal,ENERGY,3,0.034577071444444454,0.04043671758345527,9
Equal,ENERGY,4,0.10684367677777779,0.043136910072381025,9
Equal,ENERGY,Q4-Q1,0.16488898744444447,-0.006075710092776237,9
Value,FIAT,1,-0.116041482,0.1164168783025403,9
Value,FIAT,2,-0.086229274,0.03579013405278037,9
Value,FIAT,3,-0.05166449077777777,0.05573282230279602,9
Value,FIAT,4,-0.019430293711111112,0.024198509894335904,9
Value,FIAT,Q4-Q1,0.09661118828888887,-0.0922183684082044,9
Value,EQUITY,1,0.015127839311111113,-0.007554677152689351,9
Value,EQUITY,2,0.032924500527777775,-0.024522711943587044,9
Value,EQUITY,3,0.04458994255555556,0.1147594586949516,9
Value,EQUITY,4,0.06958180588888889,0.04754111305983466,9
Value,EQUITY,Q4-Q1,0.054453966577777776,0.05509579021252401,9
Value,GOLD,1,-0.026472214966666668,0.033178189551038746,9
Value,GOLD,2,-0.01924504748888889,0.004083785246799149,9
Value,GOLD,3,-0.012546321055555552,0.1801157864007777,9
Value,GOLD,4,0.0011156527422222229,-0.012404503531416842,9
Value,GOLD,Q4-Q1,0.02758786770888889,-0.045582693082455585,9
Value,ENERGY,1,-0.05804531066666666,0.04921262016515726,9
Value,ENERGY,2,-0.02031312655555556,0.1170130881012338,9
Value,ENERGY,3,0.034577071444444454,0.04043671758345527,9
Value,ENERGY,4,0.10684367677777779,0.043136910072381025,9
Value,ENERGY,Q4-Q1,0.16488898744444447,-0.006075710092776237,9
